Geoname ID;Name;ASCII Name;Alternate Names;Feature Class;Feature Code;Country Code;Country name EN;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;LABEL EN;Coordinates
3091493;Mokrsko;Mokrsko;;P;PPL;PL;Poland;;74;1017;101704;;1500;;212;Europe/Warsaw;2010-09-06;Poland;51.17897,18.48879
3092913;Lubiszyn;Lubiszyn;Lubiszyn,Ludwigsruh;P;PPLA3;PL;Poland;;76;0801;080105;;800;;55;Europe/Warsaw;2010-10-16;Poland;52.78075,14.94793
3093298;Lipka;Lipka;Linde,Linde in Westpreussen,Lipka;P;PPLA3;PL;Poland;PL;86;3031;303104;;2200;;142;Europe/Warsaw;2011-07-31;Poland;53.49601,17.25085
3093343;Lipie;Lipie;;P;PPL;PL;Poland;;83;2406;240603;;1103;;221;Europe/Warsaw;2010-09-05;Poland;51.01257,18.79658
3093739;Lębork;Lebork;Laborg,Lauenburg,Lauenburg in Pommern,Lebork,Lembork,Lemborka,Lemborkas,Lãbórg,Lębork,lun bao,renboruku,Лемборк,แลมบอร์ก,レンボルク,倫堡;P;PPLA3;PL;Poland;;82;2208;220801;;35161;;18;Europe/Warsaw;2011-07-31;Poland;54.53921,17.75012
3094052;Łabiszyn;Labiszyn;Labischin,Labishin,Labisina,Labiszyn,Labišina,wa bi shen,Łabiszyn,Лабишин,Лабішин,瓦比申;P;PPLA3;PL;Poland;;73;0419;041904;;4454;;76;Europe/Warsaw;2019-02-22;Poland;52.9521,17.91971
3094243;Kup;Kup;Kup,Kupp,Kupy;P;PPL;PL;Poland;PL;79;1609;160903;;1200;;158;Europe/Warsaw;2010-09-20;Poland;50.80659,17.88351
3094370;Ksawerów;Ksawerow;;P;PPLA3;PL;Poland;;74;1008;100805;;6269;;184;Europe/Warsaw;2010-10-15;Poland;51.68288,19.4028
3094461;Krzykosy;Krzykosy;;P;PPLA3;PL;Poland;;86;3025;302502;;808;;70;Europe/Warsaw;2010-10-16;Poland;52.11041,17.37411
3094525;Krzemieniewo;Krzemieniewo;;P;PPLA3;PL;Poland;;86;3013;301301;;5000;;110;Europe/Warsaw;2010-09-25;Poland;51.85905,16.83354
3094543;Krzęcin;Krzecin;;P;PPL;PL;Poland;;77;1206;120611;;1400;;267;Europe/Warsaw;2010-11-03;Poland;49.94316,19.74157
3094585;Kruszwica;Kruszwica;Krushvica,Krushvicja,Krusvica,Kruszwica,Krušvica,ke lu shen wei cha,Крушвица,Крушвиця,克魯什維察;P;PPLA3;PL;Poland;;73;0407;040706;;9494;;83;Europe/Warsaw;2014-06-27;Poland;52.67562,18.33131
3095358;Konary;Konary;;P;PPL;PL;Poland;;86;3022;302203;;1100;;110;Europe/Warsaw;2010-10-19;Poland;51.6569,17.04185
3095910;Kochanowice;Kochanowice;Kochanowice,Kochanowicz,Kochanowicze,Kochanowitz;P;PPL;PL;Poland;PL;83;2407;240705;;1944;;275;Europe/Warsaw;2010-09-06;Poland;50.70548,18.74911
3095961;Kobierzyce;Kobierzyce;Koberwitz,Kobierzyce,Rosslingen,Rösslingen;P;PPLA3;PL;Poland;PL;72;0223;022305;;2095;;137;Europe/Warsaw;2011-07-31;Poland;50.97054,16.93508
3096039;Klonowa;Klonowa;;P;PPLA3;PL;Poland;;74;1014;101407;;950;;163;Europe/Warsaw;2010-10-16;Poland;51.41928,18.41815
3096400;Kazimierz Biskupi;Kazimierz Biskupi;Kazimezh Biskupi,Kazimierz Biskupi,Казимеж Бискупи;P;PPLA3;PL;Poland;;86;3010;301003;;4280;;94;Europe/Warsaw;2010-09-30;Poland;52.311,18.16581
3096797;Kamieniec;Kamieniec;Kamieniec,Kamieniec Poznanskie,Kamieniec Poznańskie;P;PPL;PL;Poland;PL;86;3005;300503;;1098;;70;Europe/Warsaw;2010-09-28;Poland;52.16614,16.46164
3097528;Jarocin;Jarocin;Jarochin,Jarocin,Jarocina,Jarocinas,jrwkn,ya luo qin,Јароћин,Яроцин,Яроцін,Ярочин,جروکن,亚罗钦;P;PPL;PL;Poland;;86;3006;300602;;25665;;119;Europe/Warsaw;2019-09-05;Poland;51.97266,17.50256
3097823;Jabłonka;Jablonka;Jablonka,Jabłonka;P;PPLA3;PL;Poland;;77;1211;121105;;4767;;617;Europe/Warsaw;2010-10-30;Poland;49.47968,19.6937
